"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?","Product Tax Code","Product Custom Fields"
112,P,GOLU102,traditional-dolls,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",15.00,15.00,15.00,15.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,35,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_14__56506.jpg, Product Image URL: http://madrasclub.com.au/product_images/a/434/WhatsAppImage2020-09-16at6.37.58PM_14__56506.jpg|Product Image File: WhatsAppImage2020-09-16at6.37.58PM_15__02671.jpg, Product Image URL: http://madrasclub.com.au/product_images/z/959/WhatsAppImage2020-09-16at6.37.58PM_15__02671.jpg",,,,New,/traditional-dolls/,,,
113,P,GOLU103,key-chain-dolls,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",10.00,10.00,10.00,10.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",Y,30,0,21/09/2020,16/10/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_13__38386.jpg, Product Image URL: http://madrasclub.com.au/product_images/h/692/WhatsAppImage2020-09-16at6.37.58PM_13__38386.jpg|Product Image File: Soldout__04872.jpg, Product Image URL: http://madrasclub.com.au/product_images/q/336/Soldout__04872.jpg",,,,New,/key-chain-dolls/,,,
114,P,GOLU104,small-dolls-for-show-piece,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",10.00,10.00,10.00,10.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,35,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_12__60856.jpg, Product Image URL: http://madrasclub.com.au/product_images/e/774/WhatsAppImage2020-09-16at6.37.58PM_12__60856.jpg",,,,New,/small-dolls-for-show-piece/,,,
115,P,GOLU105,wall-hooks,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",20.00,20.00,20.00,20.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,2,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_11__45794.jpg, Product Image URL: http://madrasclub.com.au/product_images/s/563/WhatsAppImage2020-09-16at6.37.58PM_11__45794.jpg",,,,New,/wall-hooks/,,,
116,P,GOLU106,small-dolls-show-piece,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",10.00,10.00,10.00,10.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,30,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_10__36359.jpg, Product Image URL: http://madrasclub.com.au/product_images/w/471/WhatsAppImage2020-09-16at6.37.58PM_10__36359.jpg",,,,New,/small-dolls-show-piece/,,,
117,P,GOLU107,flower-basket,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",15.00,15.00,15.00,15.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,12,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_9__17432.jpg, Product Image URL: http://madrasclub.com.au/product_images/v/613/WhatsAppImage2020-09-16at6.37.58PM_9__17432.jpg",,,,New,/flower-basket/,,,
118,P,GOLU108,hanging-elephant,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",15.00,15.00,15.00,15.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,2,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_8__58987.jpg, Product Image URL: http://madrasclub.com.au/product_images/b/265/WhatsAppImage2020-09-16at6.37.58PM_8__58987.jpg",,,,New,/hanging-elephant/,,,
119,P,GOLU109,fancy-diary,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",15.00,15.00,15.00,15.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,10,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_7__78841.jpg, Product Image URL: http://madrasclub.com.au/product_images/i/201/WhatsAppImage2020-09-16at6.37.58PM_7__78841.jpg",,,,New,/fancy-diary/,,,
120,P,GOLU110,peacock-show-piece,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",15.00,15.00,15.00,15.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,3,0,21/09/2020,07/10/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_6__32011.jpg, Product Image URL: http://madrasclub.com.au/product_images/n/647/WhatsAppImage2020-09-16at6.37.58PM_6__32011.jpg",,,,New,/peacock-show-piece/,,,
121,P,GOLU111,fancy-slim-bags,MelGoluDolls,"Golu dolls made with paper mache, clay and fibreglass directly from the manufacturer and sell with reasonable cost. Decorate this Navarathri with Unique collections of Golu Dolls available at MelGoluDolls. Purchase immediately before the stock gets sold. Happy Navrathri Shopping!",15.00,15.00,15.00,15.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,"In Stock",N,20,0,21/09/2020,21/09/2020,"Category Name: MelGoludolls, Category Path: MelGoludolls","Product Image File: WhatsAppImage2020-09-16at6.37.58PM_5__28074.jpg, Product Image URL: http://madrasclub.com.au/product_images/q/931/WhatsAppImage2020-09-16at6.37.58PM_5__28074.jpg",,,,New,/fancy-slim-bags/,,,
